english_word,ground_truth,attention_prediction,vanilla_prediction
morterer,মর্টারের,মর্টারের,মর্তারের
agartala,আগরতলা,আগরতলা,আগারতলা
balilaam,বলিলাম,বলিলাম,বালিলাম
farmikaa,ফর্মিকা,ফর্মিকা,ফার্মিকা
mausumey,মৌসুমে,মৌসুমে,মাউসুমে
lakhmani,লাখমনি,লাখমনি,লাখমানি
broadcast,ব্রডকাস্ট,ব্রডকাস্ট,ব্রডক্যাস্ট
sutrodhor,সূত্রধর,সূত্রধর,সূত্রোধর
deleevari,ডেলিভারি,ডেলিভারি,ডেলিবরী
jachchena,যাচ্ছেনা,যাচ্ছেনা,যচচ্ছেনা
ribhisana,রিভিশন,রিভিশন,রিভিসন
naabaalak,নাবালক,নাবালক,নাবালাক
somonnito,সমন্বিত,সমন্বিত,সমনন্বিত
nathdwara,নাথদ্বারা,নাথদ্বারা,নাঁধবারা
bittabaan,বিত্তবান,বিত্তবান,বিত্তাবান
jharkhand,ঝারখন্ড,ঝারখন্ড,ঝারখান্ড
taakaatei,তাকাতেই,তাকাতেই,টাকাতেই
jonesboro,জোনেসবোরো,জোনেসবোরো,জনেসবরও
pyatarner,প্যাটার্নের,প্যাটার্নের,প্যাটর্নের
samotulya,সমতুল্য,সমতুল্য,সামোতুল্য
baleshwar,বালেশ্বর,বালেশ্বর,বলেশ্বর
rajyosava,রাজ্যসভা,রাজ্যসভা,রাজ্যসোভা
aajaraate,আজরাতে,আজরাতে,আজারাতে
milestone,মাইলস্টোন,মাইলস্টোন,মিলেস্তোন
seibhaabe,সেইভাবে,সেইভাবে,সেইভাবেই
licenceti,লাইসেন্সটি,লাইসেন্সটি,লাইসেন্টটি
sbatantro,স্বতন্ত্র,স্বতন্ত্র,স্বাতন্ত্র
sohokarir,সহকারীর,সহকারীর,সোহাকারীর
bhanasaali,ভনসালি,ভনসালি,ভনসালী
blackmaeil,ব্ল্যাকমেইল,ব্ল্যাকমেইল,ব্ল্যাক্মেযাইল
bishannata,বিষণ্নতা,বিষণ্নতা,বিষান্ততা
taayaalaar,তায়ালার,তায়ালার,টায়ালার
enterprise,এন্টারপ্রাইজ,এন্টারপ্রাইজ,এন্টারপ্রাইস
proteestha,প্রতিষ্ঠা,প্রতিষ্ঠা,প্রতিস্থা
byatikramo,ব্যতিক্রমও,ব্যতিক্রমও,ব্যতিক্রম
shilaidaho,শিলাইদহ,শিলাইদহ,শিলাইদাহ
scottsdale,স্কটসডেল,স্কটসডেল,স্কটটসডেল
udbignotar,উদ্বিগ্নতার,উদ্বিগ্নতার,উদ্বিগণতার
intaaramet,ইন্টারমেট,ইন্টারমেট,ইন্টারামেট
sportiyaar,স্পোর্টিয়ার,স্পোর্টিয়ার,স্পর্তিয়ার
jalaashaye,জলাশয়ে,জলাশয়ে,জলাশায়ে
soumyashch,সৌম্যশ্চ,সৌম্যশ্চ,সৌম্যাশ্চ
porissrome,পরিশ্রমে,পরিশ্রমে,পরিস্রমে
akshorguli,অক্ষরগুলি,অক্ষরগুলি,আকশরগুলি
prasraaber,প্রস্রাবের,প্রস্রাবের,প্রস্রবার
delibharee,ডেলিভারী,ডেলিভারী,ডেলিভরী
ghoraaghuri,ঘোরাঘুরি,ঘোরাঘুরি,ঘরাঘুরি
aantahnagar,আন্তঃনগর,আন্তঃনগর,আঁ্তঃনগর
maatridibya,মাতৃদিব্য,মাতৃদিব্য,মাত্রীদিব্য
presidiyama,প্রেসিডিয়াম,প্রেসিডিয়াম,প্রেসিডিয়ামা
maajharaate,মাঝরাতে,মাঝরাতে,মাঝারাতে
thyrotechno,থাইরোটেকনো,থাইরোটেকনো,থাইরোটোকেনো
charitartha,চরিতার্থ,চরিতার্থ,চরিতর্থ
mudraaneeti,মুদ্রানীতি,মুদ্রানীতি,মুদ্রানীটি
masakadzake,মাসাকাদজাকে,মাসাকাদজাকে,মাসাকাদ্জাকে
bissonather,বিশ্বনাথের,বিশ্বনাথের,বিস্নাথের
siddhantati,সিদ্ধান্তটি,সিদ্ধান্তটি,সিদ্ধানটি
prokalpakey,প্রকল্পকে,প্রকল্পকে,প্রকল্পাকে
pathachinha,পথচিহ্ন,পথচিহ্ন,পাঠাচিহ্ন
shabdabaaji,শব্দবাজি,শব্দবাজি,শব্দবাজী
camerabandi,ক্যামেরাবন্দি,ক্যামেরাবন্দি,ক্যামেরাবান্দি
nirapattaar,নিরাপত্তার,নিরাপত্তার,নিরাপত্তর
gandhinagar,গান্ধিনগর,গান্ধিনগর,গান্ধীনগর
abartamaane,অবর্তমানে,অবর্তমানে,আবর্তমানে
processorer,প্রসেসরের,প্রসেসরের,প্রসেসোরের
purasavaake,পুরসভাকে,পুরসভাকে,পুরসসাভাকে
indianapolis,ইন্ডিয়ানাপোলিস,ইন্ডিয়ানাপোলিস,ইন্ডিয়াপালিস
baastabaayit,বাস্তবায়িত,বাস্তবায়িত,বাস্তববা়িত
nagarabaasee,নগরবাসী,নগরবাসী,নারবাসী
pakshipremee,পক্ষিপ্রেমী,পক্ষিপ্রেমী,পাকশিপ্রেমী
kaankudiyaay,কাঁকুড়িয়ায়,কাঁকুড়িয়ায়,কাঙ্কুড়িয়ায়
ghatanaastal,ঘটনাস্তল,ঘটনাস্তল,ঘটনাস্টল
goshthigulor,গোষ্ঠীগুলোর,গোষ্ঠীগুলোর,গোষ্ঠিগুলোর
prajanmagulo,প্রজন্মগুলো,প্রজন্মগুলো,প্রজানমগুলো
ayaadishanao,অ্যাডিশনও,অ্যাডিশনও,অ্যাডিশনাও
shangkulaner,সংকুলানের,সংকুলানের,শংকুলানের
baarshikeete,বার্ষিকীতে,বার্ষিকীতে,বার্শিকীতে
olangkoroner,অলঙ্করণের,অলঙ্করণের,অলাংকরণের
chaandaabaji,চাঁদাবাজি,চাঁদাবাজি,চাঁদাাবাজি
choudhureera,চৌধুরীরা,চৌধুরীরা,চৌধিরীরা
samajikvabey,সামাজিকভাবে,সামাজিকভাবে,সমাজিকভাবে
structurekeo,স্ট্রাকচারকেও,স্ট্রাকচারকেও,স্ট্রাক্টুরকেও
praanahaanir,প্রাণহানির,প্রাণহানির,প্রণাহনীর
shteshhanari,স্টেশনারি,স্টেশনারি,স্ষেশাানীরী
dekhaachchhil,দেখাচ্ছিল,দেখাচ্ছিল,দেখাঁছ্ছিল
pradhaaniyaar,প্রধানিয়ার,প্রধানিয়ার,প্রধানীয়ার
kwrishakeraao,কৃষকেরাও,কৃষকেরাও,ক্ষীশরকেরাও
quartergulote,কোয়ার্টারগুলোতে,কোয়ার্টারগুলোতে,কোয়ার্টরগুলোতে
eliminationer,এলিমিনেশনের,এলিমিনেশনের,ইলিমিনেশনের
poshtmashterr,পোস্টমাস্টার,পোস্টমাস্টার,পোষ্টমাশ্টারের
ekaauntingyer,একাউন্টিংয়ের,একাউন্টিংয়ের,একাউন্টিগ্যের
graamagulotei,গ্রামগুলোতেই,গ্রামগুলোতেই,গ্রামাগুলোতেই
shilpaguloteo,শিল্পগুলোতেও,শিল্পগুলোতেও,শিল্পাগুলোতেও
direktararaao,ডিরেক্টররাও,ডিরেক্টররাও,ডিরেক্টারাও
sahadharminee,সহধর্মিনী,সহধর্মিনী,সহধর্মিন
prajuktipaadaa,প্রযুক্তিপাড়া,প্রযুক্তিপাড়া,প্রযুক্তিপাদা
adhinaayakatwa,অধিনায়কত্ব,অধিনায়কত্ব,অধিনয়কাত্ব
bangoposagarer,বঙ্গোপসাগরের,বঙ্গোপসাগরের,বাঙ্গোপাগরের
pounchhaanokei,পৌঁছানোকেই,পৌঁছানোকেই,পৌঁছনাকেই
deerghameyaadi,দীর্ঘমেয়াদি,দীর্ঘমেয়াদি,দীর্ঘমযয়েদী
avinayashilpee,অভিনয়শিল্পী,অভিনয়শিল্পী,অভিনয়দশশিল্পী
byabasaayeeraa,ব্যবসায়ীরা,ব্যবসায়ীরা,ব্যবসায়ীয়রা
bhaalobaasaten,ভালোবাসতেন,ভালোবাসতেন,ভালোবাসাতেন
paunchhaaiyaai,পৌঁছাইয়াই,পৌঁছাইয়াই,পৌঁচনাইয়াই
baastabaayaner,বাস্তবায়নের,বাস্তবায়নের,বাস্তববায়নের
baazaaramoolya,বাজারমূল্য,বাজারমূল্য,বাজারামুল্য
amanajogeetaar,অমনযোগীতার,অমনযোগীতার,আমানযোগিতার
shobhaazatraay,শোভাযাত্রায়,শোভাযাত্রায়,শোভাজাত্রায়
kyaariyaararaa,ক্যারিয়াররা,ক্যারিয়াররা,ক্যারিয়ারা
chaudhoorisaha,চৌধুরীসহ,চৌধুরীসহ,চৌধোরীসহ
prostutkarakder,প্রস্তুতকারকদের,প্রস্তুতকারকদের,প্রস্তুতকারদের
parishadagulite,পরিষদগুলিতে,পরিষদগুলিতে,পরিষাদগুলিতে
shleelataahaani,শ্লীলতাহানি,শ্লীলতাহানি,শ্লীলতাহনী
prashangsaneeya,প্রশংসনীয়,প্রশংসনীয়,প্রশংসানিয়
gaganabaaseeder,গগনবাসীদের,গগনবাসীদের,গগনাবাসীদের
mantriparishader,মন্ত্রিপরিষদের,মন্ত্রিপরিষদের,মন্ত্রিপরিষাদের
maasuddujjaamaan,মাসুদ্দুজ্জামান,মাসুদ্দুজ্জামান,মাসুদ্দুজ্জমান
communitykendrik,কমিউনিটিকেন্দ্রিক,কমিউনিটিকেন্দ্রিক,কমিউনিটেন্দ্রিক
utpaadakkhamataa,উৎপাদক্ষমতা,উৎপাদক্ষমতা,উতপাদক্ষততা
shishushilpeeder,শিশুশিল্পীদের,শিশুশিল্পীদের,শিশুশীল্পীদের
prabrrittibiggaan,প্রবৃত্তিবিজ্ঞান,প্রবৃত্তিবিজ্ঞান,প্রবৃত্তিব্জান
ardhasahasraadhik,অর্ধসহস্রাধিক,অর্ধসহস্রাধিক,অর্ধসাসার্ধাসিক
beerabhadrabaabur,বীরভদ্রবাবুর,বীরভদ্রবাবুর,বীরাভদ্রবাবুর
kkhepanaastragulo,ক্ষেপণাস্ত্রগুলো,ক্ষেপণাস্ত্রগুলো,কেপেপান্তস্তগুলো
shrinkhalaabhange,শৃঙ্খলাভঙ্গে,শৃঙ্খলাভঙ্গে,শৃঙ্খললভাগ্গে
haamalaakaareeraa,হামলাকারীরা,হামলাকারীরা,হামালাকারীরা
kaagajapatraguloke,কাগজপত্রগুলোকে,কাগজপত্রগুলোকে,কাগাযাপ্রতগুলোকে
hyaandasetaguloteo,হ্যান্ডসেটগুলোতেও,হ্যান্ডসেটগুলোতেও,হ্যান্ডাসেটগুলোতেও
kaadiyaaneebirodhee,কাদিয়ানীবিরোধী,কাদিয়ানীবিরোধী,কাড়য়ানিবরিধোধে
apaprayogakaareeder,অপপ্রয়োগকারীদের,অপপ্রয়োগকারীদের,অপাপ্রয়োগকারীদের
pratishthaanapanthee,প্রতিষ্ঠানপন্থী,প্রতিষ্ঠানপন্থী,প্রতিষ্ঠনাপ্থে
parikalpanakaareeder,পরিকল্পনকারীদের,পরিকল্পনকারীদের,পরিকল্পনাকারীদের
bishwabidyaalagulote,বিশ্ববিদ্যালগুলোতে,বিশ্ববিদ্যালগুলোতে,বিশ্ববিদ্যাবগুলোতে
niraapattaarakkheeraa,নিরাপত্তারক্ষীরা,নিরাপত্তারক্ষীরা,নিরাপত্তরক্্ষীরা
shikkhaabyabasthaatike,শিক্ষাব্যবস্থাটিকে,শিক্ষাব্যবস্থাটিকে,শিক্ষাব্যবস্থাকে
rabeendranaathabaaburaa,রবীন্দ্রনাথবাবুরা,রবীন্দ্রনাথবাবুরা,রবীন্দ্রন্থবাবুরা
byabahaarakaareederakeo,ব্যবহারকারীদেরকেও,ব্যবহারকারীদেরকেও,ব্যবহারীকারীদেওকেও
